panel,source,af_category,proportion
A,ES,0.005 < MAF < 0.01,0.1%
A,ES,0.001 < MAF <= 0.005,0.5%
A,ES,1E-4 < MAF <= 0.001,2.2%
A,ES,1E-5 < MAF <= 1E-4,21.3%
A,ES,MAF <= 1E-5,75.8%
A,HRC (0.3),0.005 < MAF < 0.01,3.7%
A,HRC (0.3),0.001 < MAF <= 0.005,15%
A,HRC (0.3),1E-4 < MAF <= 0.001,41%
A,HRC (0.3),1E-5 < MAF <= 1E-4,29.4%
A,HRC (0.3),MAF <= 1E-5,10.9%
A,HRC + TOPMed (0.3),0.005 < MAF < 0.01,0.5%
A,HRC + TOPMed (0.3),0.001 < MAF <= 0.005,2%
A,HRC + TOPMed (0.3),1E-4 < MAF <= 0.001,8.1%
A,HRC + TOPMed (0.3),1E-5 < MAF <= 1E-4,43.6%
A,HRC + TOPMed (0.3),MAF <= 1E-5,45.7%
A,TOPMed (0.3),0.005 < MAF < 0.01,0.2%
A,TOPMed (0.3),0.001 < MAF <= 0.005,1.2%
A,TOPMed (0.3),1E-4 < MAF <= 0.001,8%
A,TOPMed (0.3),1E-5 < MAF <= 1E-4,44.1%
A,TOPMed (0.3),MAF <= 1E-5,46.6%
A,HRC (0.8),0.005 < MAF < 0.01,8%
A,HRC (0.8),0.001 < MAF <= 0.005,29.4%
A,HRC (0.8),1E-4 < MAF <= 0.001,39.9%
A,HRC (0.8),1E-5 < MAF <= 1E-4,17%
A,HRC (0.8),MAF <= 1E-5,5.6%
A,HRC + TOPMed (0.8),0.005 < MAF < 0.01,1.4%
A,HRC + TOPMed (0.8),0.001 < MAF <= 0.005,5.3%
A,HRC + TOPMed (0.8),1E-4 < MAF <= 0.001,13.5%
A,HRC + TOPMed (0.8),1E-5 < MAF <= 1E-4,44.1%
A,HRC + TOPMed (0.8),MAF <= 1E-5,35.7%
A,TOPMed (0.8),0.005 < MAF < 0.01,0.5%
A,TOPMed (0.8),0.001 < MAF <= 0.005,3%
A,TOPMed (0.8),1E-4 < MAF <= 0.001,12.6%
A,TOPMed (0.8),1E-5 < MAF <= 1E-4,46%
A,TOPMed (0.8),MAF <= 1E-5,37.9%
B,ES,0.005 < MAF < 0.01,0.1%
B,ES,0.001 < MAF <= 0.005,0.4%
B,ES,1E-4 < MAF <= 0.001,1.8%
B,ES,1E-5 < MAF <= 1E-4,18.6%
B,ES,MAF <= 1E-5,79.1%
B,HRC (0.3),0.005 < MAF < 0.01,3.5%
B,HRC (0.3),0.001 < MAF <= 0.005,13.5%
B,HRC (0.3),1E-4 < MAF <= 0.001,40.3%
B,HRC (0.3),1E-5 < MAF <= 1E-4,28.2%
B,HRC (0.3),MAF <= 1E-5,14.4%
B,HRC + TOPMed (0.3),0.005 < MAF < 0.01,0.4%
B,HRC + TOPMed (0.3),0.001 < MAF <= 0.005,1.7%
B,HRC + TOPMed (0.3),1E-4 < MAF <= 0.001,7.5%
B,HRC + TOPMed (0.3),1E-5 < MAF <= 1E-4,40.6%
B,HRC + TOPMed (0.3),MAF <= 1E-5,49.7%
B,TOPMed (0.3),0.005 < MAF < 0.01,0.2%
B,TOPMed (0.3),0.001 < MAF <= 0.005,1.2%
B,TOPMed (0.3),1E-4 < MAF <= 0.001,7.3%
B,TOPMed (0.3),1E-5 < MAF <= 1E-4,40.9%
B,TOPMed (0.3),MAF <= 1E-5,50.5%
B,HRC (0.8),0.005 < MAF < 0.01,7.6%
B,HRC (0.8),0.001 < MAF <= 0.005,23.7%
B,HRC (0.8),1E-4 < MAF <= 0.001,41.9%
B,HRC (0.8),1E-5 < MAF <= 1E-4,19.2%
B,HRC (0.8),MAF <= 1E-5,7.7%
B,HRC + TOPMed (0.8),0.005 < MAF < 0.01,1.3%
B,HRC + TOPMed (0.8),0.001 < MAF <= 0.005,4.4%
B,HRC + TOPMed (0.8),1E-4 < MAF <= 0.001,13.1%
B,HRC + TOPMed (0.8),1E-5 < MAF <= 1E-4,41.5%
B,HRC + TOPMed (0.8),MAF <= 1E-5,39.7%
B,TOPMed (0.8),0.005 < MAF < 0.01,0.5%
B,TOPMed (0.8),0.001 < MAF <= 0.005,2.9%
B,TOPMed (0.8),1E-4 < MAF <= 0.001,12.1%
B,TOPMed (0.8),1E-5 < MAF <= 1E-4,42.9%
B,TOPMed (0.8),MAF <= 1E-5,41.7%
