panel,source,af_category,proportion
A,ES,0.005 < MAF < 0.01,0.1%
A,ES,0.001 < MAF <= 0.005,0.5%
A,ES,1E-4 < MAF <= 0.001,2.2%
A,ES,1E-5 < MAF <= 1E-4,21.3%
A,ES,MAF <= 1E-5,75.8%
A,HRC (0.3),0.005 < MAF < 0.01,3.7%
A,HRC (0.3),0.001 < MAF <= 0.005,15%
A,HRC (0.3),1E-4 < MAF <= 0.001,41%
A,HRC (0.3),1E-5 < MAF <= 1E-4,29.4%
A,HRC (0.3),MAF <= 1E-5,10.9%
A,HRC + TOPMed (0.3),0.005 < MAF < 0.01,0.5%
A,HRC + TOPMed (0.3),0.001 < MAF <= 0.005,2.2%
A,HRC + TOPMed (0.3),1E-4 < MAF <= 0.001,8.7%
A,HRC + TOPMed (0.3),1E-5 < MAF <= 1E-4,48.7%
A,HRC + TOPMed (0.3),MAF <= 1E-5,39.9%
A,TOPMed (0.3),0.005 < MAF < 0.01,0.5%
A,TOPMed (0.3),0.001 < MAF <= 0.005,2.2%
A,TOPMed (0.3),1E-4 < MAF <= 0.001,8.6%
A,TOPMed (0.3),1E-5 < MAF <= 1E-4,48.8%
A,TOPMed (0.3),MAF <= 1E-5,39.9%
A,HRC (0.8),0.005 < MAF < 0.01,8%
A,HRC (0.8),0.001 < MAF <= 0.005,29.4%
A,HRC (0.8),1E-4 < MAF <= 0.001,39.9%
A,HRC (0.8),1E-5 < MAF <= 1E-4,17%
A,HRC (0.8),MAF <= 1E-5,5.6%
A,HRC + TOPMed (0.8),0.005 < MAF < 0.01,1.5%
A,HRC + TOPMed (0.8),0.001 < MAF <= 0.005,5.7%
A,HRC + TOPMed (0.8),1E-4 < MAF <= 0.001,14.8%
A,HRC + TOPMed (0.8),1E-5 < MAF <= 1E-4,47.8%
A,HRC + TOPMed (0.8),MAF <= 1E-5,30.3%
A,TOPMed (0.8),0.005 < MAF < 0.01,1.5%
A,TOPMed (0.8),0.001 < MAF <= 0.005,5.5%
A,TOPMed (0.8),1E-4 < MAF <= 0.001,14.2%
A,TOPMed (0.8),1E-5 < MAF <= 1E-4,48.2%
A,TOPMed (0.8),MAF <= 1E-5,30.6%
B,ES,0.005 < MAF < 0.01,0.1%
B,ES,0.001 < MAF <= 0.005,0.4%
B,ES,1E-4 < MAF <= 0.001,1.8%
B,ES,1E-5 < MAF <= 1E-4,18.6%
B,ES,MAF <= 1E-5,79.1%
B,HRC (0.3),0.005 < MAF < 0.01,3.5%
B,HRC (0.3),0.001 < MAF <= 0.005,13.5%
B,HRC (0.3),1E-4 < MAF <= 0.001,40.3%
B,HRC (0.3),1E-5 < MAF <= 1E-4,28.2%
B,HRC (0.3),MAF <= 1E-5,14.4%
B,HRC + TOPMed (0.3),0.005 < MAF < 0.01,0.4%
B,HRC + TOPMed (0.3),0.001 < MAF <= 0.005,1.9%
B,HRC + TOPMed (0.3),1E-4 < MAF <= 0.001,8%
B,HRC + TOPMed (0.3),1E-5 < MAF <= 1E-4,45.6%
B,HRC + TOPMed (0.3),MAF <= 1E-5,44%
B,TOPMed (0.3),0.005 < MAF < 0.01,0.4%
B,TOPMed (0.3),0.001 < MAF <= 0.005,1.9%
B,TOPMed (0.3),1E-4 < MAF <= 0.001,8%
B,TOPMed (0.3),1E-5 < MAF <= 1E-4,45.7%
B,TOPMed (0.3),MAF <= 1E-5,44%
B,HRC (0.8),0.005 < MAF < 0.01,7.6%
B,HRC (0.8),0.001 < MAF <= 0.005,23.7%
B,HRC (0.8),1E-4 < MAF <= 0.001,41.9%
B,HRC (0.8),1E-5 < MAF <= 1E-4,19.2%
B,HRC (0.8),MAF <= 1E-5,7.7%
B,HRC + TOPMed (0.8),0.005 < MAF < 0.01,1.2%
B,HRC + TOPMed (0.8),0.001 < MAF <= 0.005,4.7%
B,HRC + TOPMed (0.8),1E-4 < MAF <= 0.001,14.6%
B,HRC + TOPMed (0.8),1E-5 < MAF <= 1E-4,44.9%
B,HRC + TOPMed (0.8),MAF <= 1E-5,34.6%
B,TOPMed (0.8),0.005 < MAF < 0.01,1.2%
B,TOPMed (0.8),0.001 < MAF <= 0.005,4.7%
B,TOPMed (0.8),1E-4 < MAF <= 0.001,13.7%
B,TOPMed (0.8),1E-5 < MAF <= 1E-4,45.3%
B,TOPMed (0.8),MAF <= 1E-5,35.1%
