panel,source,af_category,proportion
A,ES,0.005 < MAF < 0.01,0.2%
A,ES,0.001 < MAF <= 0.005,0.7%
A,ES,1E-4 < MAF <= 0.001,2.5%
A,ES,1E-5 < MAF <= 1E-4,21.4%
A,ES,MAF <= 1E-5,75.3%
A,HRC (0.3),0.005 < MAF < 0.01,3.7%
A,HRC (0.3),0.001 < MAF <= 0.005,14%
A,HRC (0.3),1E-4 < MAF <= 0.001,37.7%
A,HRC (0.3),1E-5 < MAF <= 1E-4,29.2%
A,HRC (0.3),MAF <= 1E-5,15.5%
A,HRC + TOPMed (0.3),0.005 < MAF < 0.01,0.6%
A,HRC + TOPMed (0.3),0.001 < MAF <= 0.005,2.1%
A,HRC + TOPMed (0.3),1E-4 < MAF <= 0.001,8.1%
A,HRC + TOPMed (0.3),1E-5 < MAF <= 1E-4,43.6%
A,HRC + TOPMed (0.3),MAF <= 1E-5,45.6%
A,TOPMed (0.3),0.005 < MAF < 0.01,0.6%
A,TOPMed (0.3),0.001 < MAF <= 0.005,2.1%
A,TOPMed (0.3),1E-4 < MAF <= 0.001,8%
A,TOPMed (0.3),1E-5 < MAF <= 1E-4,43.7%
A,TOPMed (0.3),MAF <= 1E-5,45.7%
A,HRC (0.8),0.005 < MAF < 0.01,7.8%
A,HRC (0.8),0.001 < MAF <= 0.005,25.2%
A,HRC (0.8),1E-4 < MAF <= 0.001,36.4%
A,HRC (0.8),1E-5 < MAF <= 1E-4,19.9%
A,HRC (0.8),MAF <= 1E-5,10.7%
A,HRC + TOPMed (0.8),0.005 < MAF < 0.01,1.6%
A,HRC + TOPMed (0.8),0.001 < MAF <= 0.005,5.6%
A,HRC + TOPMed (0.8),1E-4 < MAF <= 0.001,13.8%
A,HRC + TOPMed (0.8),1E-5 < MAF <= 1E-4,42.8%
A,HRC + TOPMed (0.8),MAF <= 1E-5,36.2%
A,TOPMed (0.8),0.005 < MAF < 0.01,1.6%
A,TOPMed (0.8),0.001 < MAF <= 0.005,5.6%
A,TOPMed (0.8),1E-4 < MAF <= 0.001,12.7%
A,TOPMed (0.8),1E-5 < MAF <= 1E-4,43%
A,TOPMed (0.8),MAF <= 1E-5,37.1%
B,ES,0.005 < MAF < 0.01,0.1%
B,ES,0.001 < MAF <= 0.005,0.3%
B,ES,1E-4 < MAF <= 0.001,1.4%
B,ES,1E-5 < MAF <= 1E-4,14.8%
B,ES,MAF <= 1E-5,83.4%
B,HRC (0.3),0.005 < MAF < 0.01,3.5%
B,HRC (0.3),0.001 < MAF <= 0.005,13.5%
B,HRC (0.3),1E-4 < MAF <= 0.001,39.2%
