condition,prevlence,data,pvals
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.713894241874966
"0,0,1.2",0.1,hrc_topmed_cadd,0.48564279904082
"0,0,1.2",0.1,hrc_topmed_cadd,0.807773569163711
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.898980884780949
"0,0,1.2",0.1,hrc_topmed_cadd,0.233234203039618
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.298153559844659
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.114589267374744
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.139793830507526
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.986960834699269
"0,0,1.2",0.1,hrc_topmed_cadd,0.885826392437777
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.556891564857391
"0,0,1.2",0.1,hrc_topmed_cadd,0.916632392250001
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.705216613571886
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.868098383441872
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.660093589057292
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.391108351598012
"0,0,1.2",0.1,hrc_topmed_cadd,0.962497049275352
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.359373029851263
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.557186911209166
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.969625603593219
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.198496634441656
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.173068521389606
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.414391908010625
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.696718867379906
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.735929129230886
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.468207646888499
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.59447810946662
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.157012586889238
"0,0,1.2",0.1,hrc_topmed_cadd,0.0920662219092939
"0,0,1.2",0.1,hrc_topmed_cadd,0.594908539581774
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.999671665245567
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.210134080100791
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.654504811448437
"0,0,1.2",0.1,hrc_topmed_cadd,0.116634054415198
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.925840841113499
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,0.10681781545733
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
"0,0,1.2",0.1,hrc_topmed_cadd,1
