condition,prevlence,data,pvals
"0,0,1.2",0.1,topmed,0.269757281420527
"0,0,1.2",0.1,topmed,0.488562059608048
"0,0,1.2",0.1,topmed,0.515553683967203
"0,0,1.2",0.1,topmed,0.762464816076024
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.535590390211956
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.149855458974323
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.60446882570458
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.729597085695498
"0,0,1.2",0.1,topmed,0.138173412955093
"0,0,1.2",0.1,topmed,0.30237297480644
"0,0,1.2",0.1,topmed,0.0877434228025242
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.571435137430033
"0,0,1.2",0.1,topmed,0.755908127737611
"0,0,1.2",0.1,topmed,0.0154205003393714
"0,0,1.2",0.1,topmed,0.968826301772968
"0,0,1.2",0.1,topmed,0.0312011480015371
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.526583959161732
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.904200461998988
"0,0,1.2",0.1,topmed,0.100128091299275
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.187498001933921
"0,0,1.2",0.1,topmed,0.232442094055969
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.302734011155365
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.440683866105351
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.366656246146433
"0,0,1.2",0.1,topmed,0.806296990950889
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.968671384607744
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.0922463117316581
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.274226612562847
"0,0,1.2",0.1,topmed,0.381931723705128
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.442175365794856
"0,0,1.2",0.1,topmed,0.128457456576269
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.707884073585138
"0,0,1.2",0.1,topmed,0.808129492141346
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.972928936816066
"0,0,1.2",0.1,topmed,0.385196012251309
"0,0,1.2",0.1,topmed,0.845491510998723
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.426164194817098
"0,0,1.2",0.1,topmed,0.933774573284144
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.792597204216099
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.644710930409403
"0,0,1.2",0.1,topmed,0.396780075227441
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.457721242876367
"0,0,1.2",0.1,topmed,0.669186102050003
"0,0,1.2",0.1,topmed,0.667460339242616
"0,0,1.2",0.1,topmed,0.805132824802355
"0,0,1.2",0.1,topmed,0.892899850447105
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.79857687753834
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.52737590027489
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.436478090249707
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.31447490581789
"0,0,1.2",0.1,topmed,0.667472449647517
"0,0,1.2",0.1,topmed,0.129731607691408
"0,0,1.2",0.1,topmed,0.562903604256296
"0,0,1.2",0.1,topmed,0.553736429778564
"0,0,1.2",0.1,topmed,0.0574607935518329
"0,0,1.2",0.1,topmed,0.623114541779247
"0,0,1.2",0.1,topmed,0.977019374879669
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.460517059025628
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.898012063662465
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.657216502821576
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.595601809292152
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.423418227421883
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.93442457333056
"0,0,1.2",0.1,topmed,0.301317882247978
"0,0,1.2",0.1,topmed,0.357348116853992
"0,0,1.2",0.1,topmed,0.59466466346548
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.807819202300545
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.928369125203458
"0,0,1.2",0.1,topmed,0.0985961594585521
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.934827677262794
"0,0,1.2",0.1,topmed,0.787225641731299
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.883423832526223
"0,0,1.2",0.1,topmed,0.0684300170715405
"0,0,1.2",0.1,topmed,0.618229306533276
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.276219209597926
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.356234754018798
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.358500202039971
"0,0,1.2",0.1,topmed,0.195152798587991
"0,0,1.2",0.1,topmed,0.879314160793836
"0,0,1.2",0.1,topmed,1
"0,0,1.2",0.1,topmed,0.60981736581417
"0,0,1.2",0.1,topmed,0.00663478736137146
