condition,prevlence,data,pvals
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.0940668621326263
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.579896097893792
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.611192377029321
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.0198061119378029
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.394254832025688
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.749599399558692
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.109883674787011
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.883733351596263
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.61083729807933
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.952361188541005
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.123428791807099
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.559563986709426
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.627572911955085
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.900267189124778
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.641651555502371
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.265834381203739
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.846734699672651
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.414205026997877
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.901732248065824
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.49777487074651
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.399442244158048
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.319129593729429
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.858753158757904
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.159731562647834
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.932984337639704
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.76658961426227
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.922741221752024
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.861926684866034
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.922599007688066
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.261482076421373
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.59043934311195
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.830688701884087
"0,0,1.2",0.1,hrc_topmed_exome_cadd,0.47945186871416
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
"0,0,1.2",0.1,hrc_topmed_exome_cadd,1
