condition,prevlence,data,pvals
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.248951009244632
"0,0,1.2",0.1,hrc_topmed,0.43431898591581
"0,0,1.2",0.1,hrc_topmed,0.823505376140853
"0,0,1.2",0.1,hrc_topmed,0.112396224622404
"0,0,1.2",0.1,hrc_topmed,0.554855351612874
"0,0,1.2",0.1,hrc_topmed,0.921213321175493
"0,0,1.2",0.1,hrc_topmed,0.408901226068132
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.0567073865883952
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.527640702426438
"0,0,1.2",0.1,hrc_topmed,0.304519149448832
"0,0,1.2",0.1,hrc_topmed,0.0707550027437949
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.403617977143768
"0,0,1.2",0.1,hrc_topmed,0.121321688873387
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.540201438522885
"0,0,1.2",0.1,hrc_topmed,0.302562185162976
"0,0,1.2",0.1,hrc_topmed,0.148968531688828
"0,0,1.2",0.1,hrc_topmed,0.214310301803246
"0,0,1.2",0.1,hrc_topmed,0.461837117374598
"0,0,1.2",0.1,hrc_topmed,0.131373211277284
"0,0,1.2",0.1,hrc_topmed,0.343916350917398
"0,0,1.2",0.1,hrc_topmed,0.979239902111522
"0,0,1.2",0.1,hrc_topmed,0.200733695560484
"0,0,1.2",0.1,hrc_topmed,0.734540589199761
"0,0,1.2",0.1,hrc_topmed,0.44116631992031
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.968136284617508
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.183614763091851
"0,0,1.2",0.1,hrc_topmed,0.730101897596567
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.530387033226998
"0,0,1.2",0.1,hrc_topmed,0.613161062426311
"0,0,1.2",0.1,hrc_topmed,0.448392791611076
"0,0,1.2",0.1,hrc_topmed,0.731137516147027
"0,0,1.2",0.1,hrc_topmed,0.986428746003691
"0,0,1.2",0.1,hrc_topmed,0.496100960798687
"0,0,1.2",0.1,hrc_topmed,0.352532098982491
"0,0,1.2",0.1,hrc_topmed,0.103489559451462
"0,0,1.2",0.1,hrc_topmed,0.651542883663377
"0,0,1.2",0.1,hrc_topmed,0.736348620725618
"0,0,1.2",0.1,hrc_topmed,0.827874210586133
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.45414232073914
"0,0,1.2",0.1,hrc_topmed,0.313878815003323
"0,0,1.2",0.1,hrc_topmed,0.956753930230824
"0,0,1.2",0.1,hrc_topmed,0.492727431857298
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.699040871347315
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.162399274094714
"0,0,1.2",0.1,hrc_topmed,0.731243599193964
"0,0,1.2",0.1,hrc_topmed,0.331372517018321
"0,0,1.2",0.1,hrc_topmed,0.882462796401669
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.960598512777279
"0,0,1.2",0.1,hrc_topmed,0.388288082393864
"0,0,1.2",0.1,hrc_topmed,0.192429296848849
"0,0,1.2",0.1,hrc_topmed,0.933799399831551
"0,0,1.2",0.1,hrc_topmed,0.390667003527886
"0,0,1.2",0.1,hrc_topmed,0.356051180870867
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.812359699660702
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.597756423821126
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.111853270981352
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.111705622790289
"0,0,1.2",0.1,hrc_topmed,0.441257332219132
"0,0,1.2",0.1,hrc_topmed,1
"0,0,1.2",0.1,hrc_topmed,0.970255141311087
"0,0,1.2",0.1,hrc_topmed,0.0811542582997228
"0,0,1.2",0.1,hrc_topmed,0.876775191524525
"0,0,1.2",0.1,hrc_topmed,0.911265624242428
"0,0,1.2",0.1,hrc_topmed,0.544643132006937
