condition,prevlence,data,pvals
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.303235007848895
"0,0,1.2",0.1,exome,0.399097022947478
"0,0,1.2",0.1,exome,0.502382457567306
"0,0,1.2",0.1,exome,0.0110127842203289
"0,0,1.2",0.1,exome,0.904173342258041
"0,0,1.2",0.1,exome,0.374820119460367
"0,0,1.2",0.1,exome,0.804298099946503
"0,0,1.2",0.1,exome,0.476420174898855
"0,0,1.2",0.1,exome,0.464589731301515
"0,0,1.2",0.1,exome,0.678877892656205
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.917613301503369
"0,0,1.2",0.1,exome,0.388950657305747
"0,0,1.2",0.1,exome,0.648505058083927
"0,0,1.2",0.1,exome,0.650409758970627
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.100659500178368
"0,0,1.2",0.1,exome,0.452173653828918
"0,0,1.2",0.1,exome,0.565829860786177
"0,0,1.2",0.1,exome,0.280262962557149
"0,0,1.2",0.1,exome,0.303969291959826
"0,0,1.2",0.1,exome,0.78122966684064
"0,0,1.2",0.1,exome,0.922409029202701
"0,0,1.2",0.1,exome,0.687473581161608
"0,0,1.2",0.1,exome,0.112916212369352
"0,0,1.2",0.1,exome,0.220591604575126
"0,0,1.2",0.1,exome,0.342277921277202
"0,0,1.2",0.1,exome,0.982302039088864
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.675611588106778
"0,0,1.2",0.1,exome,0.903703321758817
"0,0,1.2",0.1,exome,0.518399560410501
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.066988410542351
"0,0,1.2",0.1,exome,0.743479589974777
"0,0,1.2",0.1,exome,0.771633592895241
"0,0,1.2",0.1,exome,0.842011701387776
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.762456644108235
"0,0,1.2",0.1,exome,0.375418717669059
"0,0,1.2",0.1,exome,0.590174200637402
"0,0,1.2",0.1,exome,0.869277828826065
"0,0,1.2",0.1,exome,0.314799158172216
"0,0,1.2",0.1,exome,0.429109065888071
"0,0,1.2",0.1,exome,0.729834551976203
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.26356890458102
"0,0,1.2",0.1,exome,0.944340374024189
"0,0,1.2",0.1,exome,0.941468661879326
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.626424615404559
"0,0,1.2",0.1,exome,0.69521052414458
"0,0,1.2",0.1,exome,0.594636395892937
"0,0,1.2",0.1,exome,0.620958020139579
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.831634013923546
"0,0,1.2",0.1,exome,0.762804818287396
"0,0,1.2",0.1,exome,0.763541954679256
"0,0,1.2",0.1,exome,0.675825607516116
"0,0,1.2",0.1,exome,0.708809410880798
"0,0,1.2",0.1,exome,0.72714366268502
"0,0,1.2",0.1,exome,0.137087537958189
"0,0,1.2",0.1,exome,0.675842236299062
"0,0,1.2",0.1,exome,0.305588003694151
"0,0,1.2",0.1,exome,0.719510094241535
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.853921331944822
"0,0,1.2",0.1,exome,0.891923197379882
"0,0,1.2",0.1,exome,0.130926798477545
"0,0,1.2",0.1,exome,0.752008407819048
"0,0,1.2",0.1,exome,0.75484425217595
"0,0,1.2",0.1,exome,0.941559327680227
"0,0,1.2",0.1,exome,0.853274950467684
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.933220761442766
"0,0,1.2",0.1,exome,0.693066440009249
"0,0,1.2",0.1,exome,0.0932219212594983
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.653787929982267
"0,0,1.2",0.1,exome,0.160165391224465
"0,0,1.2",0.1,exome,0.812578964416407
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,0.926937728498163
"0,0,1.2",0.1,exome,0.939766008079168
"0,0,1.2",0.1,exome,1
"0,0,1.2",0.1,exome,1
