condition,prevlence,data,pvals
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.920743032263577
"0,0,1.2",0.1,hrc,0.719024285609054
"0,0,1.2",0.1,hrc,0.119728070048064
"0,0,1.2",0.1,hrc,0.665714128598142
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.671695653793006
"0,0,1.2",0.1,hrc,0.616184783916131
"0,0,1.2",0.1,hrc,0.791831884821115
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.289616459498667
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.912075796297969
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.208632450510049
"0,0,1.2",0.1,hrc,0.949446234052358
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.223131718277902
"0,0,1.2",0.1,hrc,0.147064165481269
"0,0,1.2",0.1,hrc,0.302120265181867
"0,0,1.2",0.1,hrc,0.244750561589804
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.422004078440347
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0124755870434015
"0,0,1.2",0.1,hrc,0.407768572846609
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.126764360730998
"0,0,1.2",0.1,hrc,0.426094266715996
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0480749006277819
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.969853276238421
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.477782471643863
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.376426164788639
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.936610854495485
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.998354223702951
"0,0,1.2",0.1,hrc,0.710371972314498
"0,0,1.2",0.1,hrc,0.593686406463196
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.787760111246875
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.175632436522958
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.701231523486265
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.239343827415332
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.285662199688688
"0,0,1.2",0.1,hrc,0.0811404810386834
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.903723491567838
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.594287595385796
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.55083012280945
"0,0,1.2",0.1,hrc,0.380538644832926
"0,0,1.2",0.1,hrc,0.528613630101376
"0,0,1.2",0.1,hrc,0.787724178042175
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.738665688837491
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.716314078595393
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.766913783555966
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.570431711854188
"0,0,1.2",0.1,hrc,0.53744064524499
"0,0,1.2",0.1,hrc,0.74562333505543
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.398391667722911
"0,0,1.2",0.1,hrc,0.666382096892532
"0,0,1.2",0.1,hrc,0.602258060601629
"0,0,1.2",0.1,hrc,0.927618580113931
"0,0,1.2",0.1,hrc,0.478970397810909
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.611223299827953
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.600271143737258
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.786481229578664
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.427285959234634
"0,0,1.2",0.1,hrc,0.444791180942407
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.875127986443839
"0,0,1.2",0.1,hrc,0.501931055055407
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.48087112012061
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.559794861978978
"0,0,1.2",0.1,hrc,0.518208472768752
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.705488296280145
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.234430773590251
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.995242110308352
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.568971550219755
"0,0,1.2",0.1,hrc,0.0348677983604227
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0151810158658665
"0,0,1.2",0.1,hrc,0.327018993427817
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.102959254382571
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.196013279234069
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.0303974269084633
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.367779761203937
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.902846154119423
"0,0,1.2",0.1,hrc,0.890346288085115
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.877652679790726
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.597252234132748
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.420159536033886
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.088015633806787
"0,0,1.2",0.1,hrc,0.921061733584948
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.136410012740496
"0,0,1.2",0.1,hrc,0.767496872928224
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.464758855638133
"0,0,1.2",0.1,hrc,0.854620335289924
"0,0,1.2",0.1,hrc,0.418030781321686
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.350554533489968
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,1
"0,0,1.2",0.1,hrc,0.00948161348877034
"0,0,1.2",0.1,hrc,0.0997805301588674
"0,0,1.2",0.1,hrc,0.854249340583913
