del_prop,prevlence,es,data,power
0.5,0.1,1.2,exome,0.0640880503144654
0.75,0.1,1.2,exome,0.143396226415094
1,0.1,1.2,exome,0.25440251572327
0.5,0.1,1.5,exome,0.337421383647799
0.75,0.1,1.5,exome,0.566352201257862
1,0.1,1.5,exome,0.727672955974843
0.5,0.1,1.8,exome,0.509433962264151
0.75,0.1,1.8,exome,0.712264150943396
1,0.1,1.8,exome,0.808490566037736
0.5,0.2,1.2,exome,0.060062893081761
0.75,0.2,1.2,exome,0.153459119496855
1,0.2,1.2,exome,0.264465408805031
0.5,0.2,1.5,exome,0.339308176100629
0.75,0.2,1.5,exome,0.557232704402516
1,0.2,1.5,exome,0.718238993710692
0.5,0.2,1.8,exome,0.508805031446541
0.75,0.2,1.8,exome,0.717610062893082
1,0.2,1.8,exome,0.810062893081761
0.5,0.1,1.2,exome_cadd,0.0116352201257862
0.75,0.1,1.2,exome_cadd,0.0415094339622642
1,0.1,1.2,exome_cadd,0.0761006289308176
0.5,0.1,1.5,exome_cadd,0.157861635220126
0.75,0.1,1.5,exome_cadd,0.281446540880503
1,0.1,1.5,exome_cadd,0.414779874213837
0.5,0.1,1.8,exome_cadd,0.254716981132076
0.75,0.1,1.8,exome_cadd,0.416352201257862
1,0.1,1.8,exome_cadd,0.528301886792453
0.5,0.2,1.2,exome_cadd,0.0160377358490566
0.75,0.2,1.2,exome_cadd,0.0449685534591195
1,0.2,1.2,exome_cadd,0.0893081761006289
0.5,0.2,1.5,exome_cadd,0.156289308176101
0.75,0.2,1.5,exome_cadd,0.294025157232704
1,0.2,1.5,exome_cadd,0.416666666666667
0.5,0.2,1.8,exome_cadd,0.254088050314465
0.75,0.2,1.8,exome_cadd,0.419811320754717
1,0.2,1.8,exome_cadd,0.517924528301887
0.5,0.1,1.2,hrc,0.049685534591195
0.75,0.1,1.2,hrc,0.0893081761006289
1,0.1,1.2,hrc,0.14622641509434
0.5,0.1,1.5,hrc,0.174528301886792
0.75,0.1,1.5,hrc,0.260691823899371
1,0.1,1.5,hrc,0.328301886792453
0.5,0.1,1.8,hrc,0.224213836477987
0.75,0.1,1.8,hrc,0.293081761006289
1,0.1,1.8,hrc,0.350314465408805
0.5,0.2,1.2,hrc,0.0509433962264151
0.75,0.2,1.2,hrc,0.0924528301886792
1,0.2,1.2,hrc,0.143710691823899
0.5,0.2,1.5,hrc,0.167295597484277
0.75,0.2,1.5,hrc,0.257547169811321
1,0.2,1.5,hrc,0.325157232704403
0.5,0.2,1.8,hrc,0.219811320754717
0.75,0.2,1.8,hrc,0.294025157232704
1,0.2,1.8,hrc,0.34685534591195
0.5,0.1,1.2,hrc_cadd,0.0059748427672956
0.75,0.1,1.2,hrc_cadd,0.0191823899371069
1,0.1,1.2,hrc_cadd,0.0342767295597484
0.5,0.1,1.5,hrc_cadd,0.0522012578616352
0.75,0.1,1.5,hrc_cadd,0.0808176100628931
1,0.1,1.5,hrc_cadd,0.110377358490566
0.5,0.1,1.8,hrc_cadd,0.0685534591194969
0.75,0.1,1.8,hrc_cadd,0.0990566037735849
1,0.1,1.8,hrc_cadd,0.117924528301887
0.5,0.2,1.2,hrc_cadd,0.00691823899371069
0.75,0.2,1.2,hrc_cadd,0.0185534591194969
1,0.2,1.2,hrc_cadd,0.0330188679245283
0.5,0.2,1.5,hrc_cadd,0.0518867924528302
0.75,0.2,1.5,hrc_cadd,0.0830188679245283
1,0.2,1.5,hrc_cadd,0.10377358490566
0.5,0.2,1.8,hrc_cadd,0.0657232704402516
0.75,0.2,1.8,hrc_cadd,0.0974842767295597
1,0.2,1.8,hrc_cadd,0.114150943396226
0.5,0.1,1.2,hrc_topmed,0.0616352201257862
0.75,0.1,1.2,hrc_topmed,0.126415094339623
1,0.1,1.2,hrc_topmed,0.203459119496855
0.5,0.1,1.5,hrc_topmed,0.242767295597484
0.75,0.1,1.5,hrc_topmed,0.384276729559748
1,0.1,1.5,hrc_topmed,0.482075471698113
0.5,0.1,1.8,hrc_topmed,0.334276729559748
0.75,0.1,1.8,hrc_topmed,0.452201257861635
1,0.1,1.8,hrc_topmed,0.522641509433962
0.5,0.2,1.2,hrc_topmed,0.0650943396226415
0.75,0.2,1.2,hrc_topmed,0.133018867924528
1,0.2,1.2,hrc_topmed,0.210691823899371
0.5,0.2,1.5,hrc_topmed,0.241509433962264
0.75,0.2,1.5,hrc_topmed,0.382075471698113
1,0.2,1.5,hrc_topmed,0.485534591194969
0.5,0.2,1.8,hrc_topmed,0.327672955974843
